customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
7590-VHVEG,1,No,Month-to-month,Yes,Electronic check,29.85,29.85,Female,0,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,No
5575-GNVDE,34,Yes,One year,No,Mailed check,56.95,1889.5,Male,0,No,No,No,DSL,Yes,No,Yes,No,No,No,No
3668-QPYBK,2,Yes,Month-to-month,Yes,Mailed check,53.85,108.15,Male,0,No,No,No,DSL,Yes,Yes,No,No,No,No,Yes
7795-CFOCW,45,No,One year,No,Bank transfer (automatic),42.3,1840.75,Male,0,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No
9237-HQITU,2,Yes,Month-to-month,Yes,Electronic check,70.7,151.65,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No,Yes
9305-CDSKC,8,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes
1452-KIOVK,22,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Male,0,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
6713-OKOMC,10,No,Month-to-month,No,Mailed check,29.75,301.9,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No,No
7892-POOKP,28,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Female,0,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes
6388-TABGU,62,Yes,One year,No,Bank transfer (automatic),56.15,3487.95,Male,0,No,Yes,No,DSL,Yes,Yes,No,No,No,No,No
9763-GRSKD,13,Yes,Month-to-month,Yes,Mailed check,49.95,587.45,Male,0,Yes,Yes,No,DSL,Yes,No,No,No,No,No,No
7469-LKBCI,16,Yes,Two year,No,Credit card (automatic),18.95,326.8,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
8091-TTVAX,58,Yes,One year,No,Credit card (automatic),100.35,5681.1,Male,0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No
0280-XJGEX,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes
5129-JLPIS,25,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,Male,0,No,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No
3655-SNQYZ,69,Yes,Two year,No,Credit card (automatic),113.25,7895.15,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
8191-XWSZG,52,Yes,One year,No,Mailed check,20.65,1022.95,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
9959-WOFKT,71,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,Male,0,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No
4190-MFLUW,10,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,Female,0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes
